Gene	logFC	AveExpr	t	P.Value	adj.P.Val	B
LOC102723932	1.0813807334552	2.00870819802814	2.39962393744096	0.0230631450834156	0.106324528160888	-3.92023859328433
C5orf46	1.08191283291022	2.61759254600037	1.81048722795424	0.0805998293621562	0.24863908156971	-5.00657163392968
LOC100129112	1.08195806932628	0.894556301980245	2.43385726574837	0.0213355526047042	0.101035680392248	-3.85061312099937
PKDCC	1.08302517701528	5.75437176454593	2.45966273448558	0.02011253926135	0.096995473329291	-3.79770342243082
AK311120 /// LSAMP	1.08455848789254	0.28885146519704	3.54819726286069	0.00134353280442773	0.0144357659023025	-1.29520377472941
RP13-39P12.3	1.08460836667495	3.56114156815188	3.97524486501493	0.000428222126874511	0.00628308448165221	-0.210239935995461
ITGA6	1.08482946286756	6.41524719580367	4.55499597907148	8.73170739842041e-05	0.00196338200775189	1.31235326815102
ZNF792	1.08554299892794	3.82963851500357	3.67214880722295	0.000967289163378527	0.0114432854043446	-0.984545071036473
TUBB2A /// TUBB2B	1.08586573297127	5.58233154840194	3.0816463391998	0.00448274348367238	0.0333019983373261	-2.42436145777954
B3GALNT1	1.08592748526517	3.25150936797522	3.1357876655026	0.00390932542713026	0.0304562219430619	-2.29704687472937
XPO5	1.08608070828754	5.46129495616928	5.36662812089863	9.17568346684435e-06	0.000371860336719093	3.48498610070491
SRD5A3-AS1	1.08624417386747	1.72842139874715	2.257360762452	0.0316941072470815	0.132570763373885	-4.20245331417206
BC041363	1.08727201380077	1.81466699975468	2.45997396818691	0.0200981895966442	0.096995473329291	-3.79706308274458
TFPT	1.08738193916538	4.6544371960124	3.31660669221975	0.00246034672954973	0.0221714004134136	-1.86437739558905
HIST1H2AD /// HIST1H3D	1.08779247167021	3.25520347762044	2.02940096886281	0.0516893801699485	0.184790123361786	-4.62912267239463
C6orf164	1.08835380769162	0.948857665713044	2.0188227321754	0.0528422066922566	0.187809411444523	-4.64811327917421
RPL31 /// TBC1D8	1.08874271338984	4.17369695265615	2.77514835706963	0.00955970474750984	0.0569514325383565	-3.12316081769752
ACTN3	1.08878130177939	2.75178439973019	2.75569622706178	0.0100194928207912	0.059003122469957	-3.1661482763586
RP11-218F4.1	1.08881997842441	2.81714907885828	2.35531830911227	0.0254886115877854	0.114001842062078	-4.00937772904249
PNMA3	1.0889129804982	4.38639159400674	2.23922859857651	0.0329822998932176	0.136143154350382	-4.23757112807517
RP11-119F7.5	1.08934342531687	3.49203382388438	3.07199843881372	0.00459300328789238	0.0339282152422201	-2.44693432985777
RAD51	1.08990768794856	3.7108766011646	4.41019729699355	0.000130245369495371	0.00264083714700958	0.928319187273184
GS1-24F4.2	1.09154657824576	0.716194577209804	1.87660053041475	0.070674833609091	0.228107564609732	-4.89609139293543
PCDHB2	1.09215688796801	1.47386364815376	1.50635126835363	0.14279989879066	0.356289989270616	-5.47301358814656
RP11-353N14.2	1.09223685805955	1.10886231754507	2.14050352334539	0.0408579123260431	0.15793701067213	-4.42526017185596
LOC101928020	1.09299554950913	1.23073027872774	1.5752424157688	0.126054848863622	0.330010022848663	-5.37358718199008
